car_name,model_year,origin,cylinders,displacement,horsepower,weight,acceleration,mpg
chevrolet chevelle malibu,70,1,8,307.0,130.0,3504.0,12.0,18.0
buick skylark 320,70,1,8,350.0,165.0,3693.0,11.5,15.0
plymouth satellite,70,1,8,318.0,150.0,3436.0,11.0,18.0
amc rebel sst,70,1,8,304.0,150.0,3433.0,12.0,16.0
ford torino,70,1,8,302.0,140.0,3449.0,10.5,17.0
ford galaxie 500,70,1,8,429.0,198.0,4341.0,10.0,15.0
chevrolet impala,70,1,8,454.0,220.0,4354.0,9.0,14.0
plymouth fury iii,70,1,8,440.0,215.0,4312.0,8.5,14.0
pontiac catalina,70,1,8,455.0,225.0,4425.0,10.0,14.0
amc ambassador dpl,70,1,8,390.0,190.0,3850.0,8.5,15.0
dodge challenger se,70,1,8,383.0,170.0,3563.0,10.0,15.0
plymouth 'cuda 340,70,1,8,340.0,160.0,3609.0,8.0,14.0
chevrolet monte carlo,70,1,8,400.0,150.0,3761.0,9.5,15.0
buick estate wagon (sw),70,1,8,455.0,225.0,3086.0,10.0,14.0
toyota corona mark ii,70,3,4,113.0,95.0,2372.0,15.0,24.0
plymouth duster,70,1,6,198.0,95.0,2833.0,15.5,22.0
amc hornet,70,1,6,199.0,97.0,2774.0,15.5,18.0
ford maverick,70,1,6,200.0,85.0,2587.0,16.0,21.0
datsun pl510,70,3,4,97.0,88.0,2130.0,14.5,27.0
volkswagen 1131 deluxe sedan,70,2,4,97.0,46.0,1835.0,20.5,26.0
peugeot 504,70,2,4,110.0,87.0,2672.0,17.5,25.0
audi 100 ls,70,2,4,107.0,90.0,2430.0,14.5,24.0
saab 99e,70,2,4,104.0,95.0,2375.0,17.5,25.0
bmw 2002,70,2,4,121.0,113.0,2234.0,12.5,26.0
amc gremlin,70,1,6,199.0,90.0,2648.0,15.0,21.0
ford f250,70,1,8,360.0,215.0,4615.0,14.0,10.0
chevy c20,70,1,8,307.0,200.0,4376.0,15.0,10.0
dodge d200,70,1,8,318.0,210.0,4382.0,13.5,11.0
hi 1200d,70,1,8,304.0,193.0,4732.0,18.5,9.0
datsun pl510,71,3,4,97.0,88.0,2130.0,14.5,27.0
chevrolet vega 2300,71,1,4,140.0,90.0,2264.0,15.5,28.0
toyota corona,71,3,4,113.0,95.0,2228.0,14.0,25.0
ford pinto,71,1,4,98.0,,2046.0,19.0,25.0
amc gremlin,71,1,6,232.0,100.0,2634.0,13.0,19.0
plymouth satellite custom,71,1,6,225.0,105.0,3439.0,15.5,16.0
chevrolet chevelle malibu,71,1,6,250.0,100.0,3329.0,15.5,17.0
ford torino 500,71,1,6,250.0,88.0,3302.0,15.5,19.0
amc matador,71,1,6,232.0,100.0,3288.0,15.5,18.0
chevrolet impala,71,1,8,350.0,165.0,4209.0,12.0,14.0
pontiac catalina brougham,71,1,8,400.0,175.0,4464.0,11.5,14.0
ford galaxie 500,71,1,8,351.0,153.0,4154.0,13.5,14.0
plymouth fury iii,71,1,8,318.0,150.0,4096.0,13.0,14.0
dodge monaco (sw),71,1,8,383.0,180.0,4955.0,11.5,12.0
ford country squire (sw),71,1,8,400.0,170.0,4746.0,12.0,13.0
pontiac safari (sw),71,1,8,400.0,175.0,5140.0,12.0,13.0
amc hornet sportabout (sw),71,1,6,258.0,110.0,2962.0,13.5,18.0
chevrolet vega (sw),71,1,4,140.0,72.0,2408.0,19.0,22.0
pontiac firebird,71,1,6,250.0,100.0,3282.0,15.0,19.0
ford mustang,71,1,6,250.0,88.0,3139.0,14.5,18.0
mercury capri 2000,71,1,4,122.0,86.0,2220.0,14.0,23.0
opel 1900,71,2,4,116.0,90.0,2123.0,14.0,28.0
peugeot 304,71,2,4,79.0,70.0,2074.0,19.5,30.0
fiat 124b,71,2,4,88.0,76.0,2065.0,14.5,30.0
toyota corolla 1200,71,3,4,71.0,65.0,1773.0,19.0,31.0
datsun 1200,71,3,4,72.0,69.0,1613.0,18.0,35.0
volkswagen model 111,71,2,4,97.0,60.0,1834.0,19.0,27.0
plymouth cricket,71,1,4,91.0,70.0,1955.0,20.5,26.0
toyota corona hardtop,72,3,4,113.0,95.0,2278.0,15.5,24.0
dodge colt hardtop,72,1,4,97.5,80.0,2126.0,17.0,25.0
volkswagen type 3,72,2,4,97.0,54.0,2254.0,23.5,23.0
chevrolet vega,72,1,4,140.0,90.0,2408.0,19.5,20.0
ford pinto runabout,72,1,4,122.0,86.0,2226.0,16.5,21.0
chevrolet impala,72,1,8,350.0,165.0,4274.0,12.0,13.0
pontiac catalina,72,1,8,400.0,175.0,4385.0,12.0,14.0
plymouth fury iii,72,1,8,318.0,150.0,4135.0,13.5,15.0
ford galaxie 500,72,1,8,351.0,153.0,4129.0,13.0,14.0
amc ambassador sst,72,1,8,304.0,150.0,3672.0,11.5,17.0
mercury marquis,72,1,8,429.0,208.0,4633.0,11.0,11.0
buick lesabre custom,72,1,8,350.0,155.0,4502.0,13.5,13.0
oldsmobile delta 88 royale,72,1,8,350.0,160.0,4456.0,13.5,12.0
chrysler newport royal,72,1,8,400.0,190.0,4422.0,12.5,13.0
mazda rx2 coupe,72,3,3,70.0,97.0,2330.0,13.5,19.0
amc matador (sw),72,1,8,304.0,150.0,3892.0,12.5,15.0
chevrolet chevelle concours (sw),72,1,8,307.0,130.0,4098.0,14.0,13.0
ford gran torino (sw),72,1,8,302.0,140.0,4294.0,16.0,13.0
plymouth satellite custom (sw),72,1,8,318.0,150.0,4077.0,14.0,14.0
volvo 145e (sw),72,2,4,121.0,112.0,2933.0,14.5,18.0
volkswagen 411 (sw),72,2,4,121.0,76.0,2511.0,18.0,22.0
peugeot 504 (sw),72,2,4,120.0,87.0,2979.0,19.5,21.0
renault 12 (sw),72,2,4,96.0,69.0,2189.0,18.0,26.0
ford pinto (sw),72,1,4,122.0,86.0,2395.0,16.0,22.0
datsun 510 (sw),72,3,4,97.0,92.0,2288.0,17.0,28.0
toyouta corona mark ii (sw),72,3,4,120.0,97.0,2506.0,14.5,23.0
dodge colt (sw),72,1,4,98.0,80.0,2164.0,15.0,28.0
